Estado;Municipio;Parroquia;Sectores, Urbanizaciones y Centros Comerciales
Distrito Capital;Libertador;Sucre;Alta Vista, Blandín, Casalta, El Cuartel, Gramoven, La Silsa, Lomas de Urdaneta, Los Flores de Catia, Los Frailes, Los Magallanes de Catia, Propatria, Ruperto Lugo
Distrito Capital;Libertador;Coche;Coche (Casco Central), Cochecito, La Rinconada, Las Mayas, Mercado Mayor de Coche, Turmerito, Veredas de Coche
Distrito Capital;Libertador;El Valle;Casco Central, La Bandera, Las Casitas, Las Malvinas, Los Jardines de El Valle, Los Rosales, Prado de María
Distrito Capital;Libertador;El Paraíso;N/A
Distrito Capital;Libertador;La Vega;N/A
Miranda;Guaicaipuro;Los Teques;23 de Enero, Alberto Ravell, Alí Primera (incl. C.C.), Alto Verde, Aquiles Nazoa, Av. Bermúdez, Av. Bertorelli Cisneros, Av. Bicentenario, Av. Bolívar, Av. Francisco de Miranda, Av. Víctor Batista, Barrio Ayacucho, Barrio La Cruz, Barrio Miranda I y II, Bosque Alto, Brisas de Aragua, Brisas de Palo Alto, Buenos Aires, C.C. El Hito, C.C. Petrocas, Carretera Vieja, Cañaote, Centro Los Teques, Club Hípico, Colina del Ángel, Colinas del Paso, Cumbre Azul, Cumbre Roja, El Barbecho, El Bosque, El Cabotaje, El Chorrito, El Encanto, El Nacional, El Panadero, El Paso, El Retén, El Rincón, El Sabil, El Solar de la Quinta, El Tambor, El Tiuna, El Trabuco, El Trigo, El Vigía, Guaremal, Hospital Victorino Santaella, José Gregorio Hernández, Km 26, Km 38, La Cascarita (incl. Residencias), La Cima (incl. Residencias), La Estrella, La Fontanera, La Línea, La Macarena, La Mascota, La Mata, La Matica, La Quinta, Lagunetica (incl. Residencias), Las Cadenas, Los Alpes, Los Amarillos, Los Andamios, Los Apamates, Los Barriales, Los Cerritos, Los Colorados, Los Lagos, Los Límites, Los Nuevos Teques, Los Panamericanos, Mal Paso, Montes Verdes, Palo Alto, Pan de Azúcar, Parque Las Américas, Parque Los Coquitos (incl. Residencias), Puerta Morocha, Punta Brava, Quebrada La Virgen, Ramo Verde, Res. (Aldebaran, Imola, Miracielo, Miraflores, Moiral, Parque Knoop, Santa María, Tiuna, Tuqueque, Yati), Retamal, Río Arriba, Romerito, Rómulo Gallegos, San Omero, San Pedro, Santa Eulalia, Santa Rosa, Simón Bolívar (Urb. y Res.), Trigo Dorado (incl. Residencias), Urb. El Bosque, Urb. San Camilo, Urb. Tina Antonia, Valle Alto
Miranda;Guaicaipuro;Cecilio Acosta;Agua Fría, C.C. Pasatiempo, Carmen Sur, Casco Central, Cocorote, Cortada del Guayabo, El Colorado, El Fogón, El Limón, El Peñón, El Prado, Guaicoco, Guamas, Guareguare, Hacienda El Barranco, La Oci, Los Amistosos, Nueva Generación, Pasatiempo, San José, San Rafael de la Montaña, Santa Eduvigis, Urbanización Cerro Alto, Urbanización Vista Hermosa
Miranda;Guaicaipuro;San Pedro de los Altos;Bosque de Pinos, El Garabato, Pozo de Rosas, Pueblo
Miranda;Carrizal;Carrizal;Barola, Brisas de Oriente, C.C. Coliseo, C.C. Don Pedro, C.C. La Cascada, C.C. Llano Alto, Casco Central, Colinas de Carrizal, Corralito, El Sitio, José Manuel Álvarez, La Carbonera, La Ladera, La Llovizna, La Marcona, Las Fresas, Llano Alto, Loma Gorda, Lomas de Urquía, Montaña Alta, Potrerito, Potrerito del Medio, Santa Eduvigis, Yerbabuena
Miranda;Los Salias;San Antonio de los Altos;Barrio Las Minas, Bosque Alegre, C.C. Casa Blanca, C.C. Club de Campo, C.C. Colinas, C.C. Don Blas, C.C. Galerías, C.C. La Casona (y La Casona II), C.C. Los Castores, C.C. Los Llaneros, Casco Histórico, El Cují, El Picacho, El Páramo (incl. Residencias), El Retiro, La Ermita, La Morita, La Pomarrosa, La Rosaleda, Las Minas (incl. Zona Industrial), Las Polonias Nuevas y Viejas, Los Castores, Los Helechos, Los Samanes, Pueblo de San Antonio, Res. (Anita, Churuatas, OPS, San Antonio), Sierra Brava, Terrazas de La Rosaleda
Aragua;José Rafael Revenga;El Consejo;Centro, Sabaneta, Santo Domingo, Zona Industrial
Aragua;Santos Michelena;Las Tejerías;Bella Vista, Brisas de Bucaral, Bucaral, Casco Central, Colinas de Bucaral, Curiepé, El Beisbol, El Caballito, El Jabillal, El Loro, Jerusalem, La Cañada, La Concepción, La Estación, La Gruta, La Línea, La Olla, La Oveja, Las Guayas, Santa Maria, Trapiche del Medio, Variante de Guayas
