Sutitucion Estado;Sustitucion Municipio;Sustitucion a Parroquia;Sector
Aragua;Santos de Michelena;Las Tejerias;Bella vista
Aragua;Santos de Michelena;Las Tejerias;Brisas De Aragua
Aragua;Santos de Michelena;Las Tejerias;Brisas De Bucaral
Aragua;Santos de Michelena;Las Tejerias;Cañaote
Aragua;Santos de Michelena;Las Tejerias;Casco Central
Aragua;Santos de Michelena;Las Tejerias;Ciudad guayas
Aragua;Santos de Michelena;Las Tejerias;Colinas De Bucaral
Aragua;Santos de Michelena;Las Tejerias;Curiepe
Aragua;Santos de Michelena;Las Tejerias;El Beisbol
Aragua;Santos de Michelena;Las Tejerias;El Loro
Aragua;Santos de Michelena;Las Tejerias;Jabillal
Aragua;Santos de Michelena;Las Tejerias;Jerusalen
Aragua;Santos de Michelena;Las Tejerias;La concepcion
Aragua;Santos de Michelena;Las Tejerias;La Gruta
Aragua;Santos de Michelena;Las Tejerias;Las Lomitas
Aragua;Santos de Michelena;Las Tejerias;Los Limites
Aragua;Santos de Michelena;Las Tejerias;Los Panamericanos
Aragua;Santos de Michelena;Las Tejerias;Santo Domingo
Aragua;Santos de Michelena;Las Tejerias;Tabacal
Aragua;Santos de Michelena;Las Tejerias;Tinapuey
Aragua;Santos de Michelena;Las Tejerias;Trapiche del medio
Distrito Capital;Libertador;Coche;Coche
Distrito Capital;Libertador;El Valle;El Valle
Distrito Capital;Libertador;La Vega;La Vega
Distrito Capital;Libertador;Sucre (Catia);Propatria
Miranda;Carrizal;Carrizal;Barola
Miranda;Carrizal;Carrizal;Barrio Bolivar
Miranda;Carrizal;Carrizal;Brisas De Oriente
Miranda;Carrizal;Carrizal;C.C Coliseo
Miranda;Carrizal;Carrizal;C.C Don Pedro
Miranda;Carrizal;Carrizal;C.C La cascada
Miranda;Carrizal;Carrizal;C.C Tibisay
Miranda;Carrizal;Carrizal;Casco Central
Miranda;Carrizal;Carrizal;Corralito
Miranda;Carrizal;Carrizal;Jose Manuel Alvarez
Miranda;Carrizal;Carrizal;Llano Alto
Miranda;Carrizal;Carrizal;Lomas de urquia
Miranda;Carrizal;Carrizal;Montaña Alta
Miranda;Carrizal;Carrizal;Potrero del Medio
Miranda;Carrizal;Carrizal;Santa eduviges
Miranda;Carrizal;Carrizal;Yerba Buena
Miranda;Guaicaipuro;Cecilio Acosta;Agua fria
Miranda;Guaicaipuro;Cecilio Acosta;Cachapal
Miranda;Guaicaipuro;Cecilio Acosta;Cantarrana
Miranda;Guaicaipuro;Cecilio Acosta;Casco Central
Miranda;Guaicaipuro;Cecilio Acosta;Cocorote
Miranda;Guaicaipuro;Cecilio Acosta;Cortada del Guayabo
Miranda;Guaicaipuro;Cecilio Acosta;El Aguacatal
Miranda;Guaicaipuro;Cecilio Acosta;El Calvario
Miranda;Guaicaipuro;Cecilio Acosta;El Ingenio
Miranda;Guaicaipuro;Cecilio Acosta;El Limon
Miranda;Guaicaipuro;Cecilio Acosta;El Naranjal
Miranda;Guaicaipuro;Cecilio Acosta;El Peñon
Miranda;Guaicaipuro;Cecilio Acosta;El Prado
Miranda;Guaicaipuro;Cecilio Acosta;Guaicoco
Miranda;Guaicaipuro;Cecilio Acosta;GuareGuare
Miranda;Guaicaipuro;Cecilio Acosta;La Crucesita
Miranda;Guaicaipuro;Cecilio Acosta;La Culebrilla
Miranda;Guaicaipuro;Cecilio Acosta;La Oci
Miranda;Guaicaipuro;Cecilio Acosta;Los Amistosos
Miranda;Guaicaipuro;Cecilio Acosta;Los Colorados
Miranda;Guaicaipuro;Cecilio Acosta;San Jose
Miranda;Guaicaipuro;Cecilio Acosta;San Rafael
Miranda;Guaicaipuro;Cecilio Acosta;Vista Hermosa
Miranda;Guaicaipuro;Los Teques;23 de Enero
Miranda;Guaicaipuro;Los Teques;Alberto Ravell
Miranda;Guaicaipuro;Los Teques;Alto Verde
Miranda;Guaicaipuro;Los Teques;Aquiles Nazoa
Miranda;Guaicaipuro;Los Teques;Barbecho
Miranda;Guaicaipuro;Los Teques;Barrio La Cruz
Miranda;Guaicaipuro;Los Teques;Barrio Miranda I
Miranda;Guaicaipuro;Los Teques;Barrio Miranda II
